County,Population,Death_Rate,Incidence_Rate,Median_Income,Poverty_Percent,Median_Age,Median_Age_Male,Median_Age_Female,Average_Household_Size,Percentage_Married_Households,Percentage_No_High_School_Age_18_24,Percentage_High_School_Age_18_24,Percentage_Bachelor_Degree_Age_18_24,Percentage_High_School_Age_25_Over,Percentage_Bachelor_Degree_Age_25_Over,Percentage_Unemployed_Age_16_Over,Percentage_Private_Coverage,Percentage_Employed_Private_Coverage,Percentage_Public_Coverage,Percentage_Public_Coverage_Alone,Percentage_White,Percentage_Black,Percentage_Asian,Percentage_Other_Race
"Polk County, Nebraska",5202,187.7,417.6,58162,8,45.4,44.6,46.3,2.37,60.07342818,24.7,29.8,7,32.5,14.7,1.9,81.9,47,26.3,8.8,96.47125783,0.246632518,0.36046291,1.555682034
"Powell County, Montana",6840,161,462,40072,20.2,45.4,43.6,49.3,2.25,49.78991597,22.1,46.1,4,37,12.1,2.2,63.2,38.9,38.2,18.8,92.30107527,0.47311828,1.103942652,0.229390681
"Prairie County, Arkansas",8291,196.7,449.5,39896,18.7,45.4,44.9,46.7,2.16,50.31364349,26.5,30.9,6.2,41.8,7.2,6.2,51.7,30.7,47.1,28.7,86.12235182,12.3184956,0.119019281,0.3808617
"Scott County, Virginia",22126,196.1,330.8,36290,20.8,45.4,44.4,47,2.34,55.30440345,4.1,38.3,9.9,36.2,8.1,9.4,62.7,40.5,42.7,20.7,98.08152415,0.757642889,0.26583961,0.101905184
"Southampton County, Virginia",18109,181.8,405.7,46521,15.3,45.4,45.7,45.2,2.53,52.5142173,21.2,27.9,2.3,34.8,10.1,7.2,66.8,42,33.3,16.7,60.91797936,35.92069527,0.10320478,0.401955459
"Venango County, Pennsylvania",53119,199.4,487.7,43810,16.2,45.4,43.9,46.9,2.38,51.88666456,17.9,46.5,7.2,49.7,10.7,8.1,67.3,43.3,41.3,20.3,96.82039105,0.888583831,0.387711943,0.144696323
"Walsh County, North Dakota",10897,141,403.7,51754,10.9,45.4,44.1,47.6,2.15,52.52586732,30.1,23.5,6.4,36,12.9,3.3,74.4,44,32.9,12.8,90.41344843,0.245343026,0.517946388,5.815538392
"Accomack County, Virginia",32973,216.2,479.4,38390,19.4,45.3,42.7,47.3,2.29,47.46794642,26.6,40.4,12.9,39.9,11,6.8,61.8,37.3,36.7,18.4,68.00845538,28.67582666,0.144949419,1.322663446
"Amite County, Mississippi",12574,171.8,425.1,30668,23.2,45.3,42.6,47.9,2.55,44.77432297,23.5,44.4,1.7,36.6,7.4,12.7,46.1,29,49.3,30.3,57.59345794,42.18068536,0.093457944,0
"Calhoun County, South Carolina",14781,150.9,468,41209,19.3,45.3,44.2,46.5,2.45,47.81021898,19.4,35.3,4.5,37.2,11,8.6,60.8,39.8,38.2,18.9,54.20510763,42.40540179,0,2.219548068
"Decatur County, Tennessee",11660,212.3,431.5,37417,19.9,45.3,44.2,46.1,2.3,50.74327039,15,38.9,4.7,44.6,7.5,10.1,58.4,35.7,44.3,23.9,94.10405614,2.781105596,0.265274688,0.795824063
"Forest County, Wisconsin",9057,166.4,490.6,41418,17,45.3,44.4,46.4,2.33,51.39107612,18.9,42.2,4.4,40.7,8.8,10.1,59.8,35.1,43.9,20.4,82.26229508,0.491803279,0.153005464,0
"Glades County, Florida",13670,135.3,354.9,38783,21.1,45.3,42.5,48,3.04,51.65816327,38.6,23.6,0.2,44.5,5.8,12.9,47.1,24.1,47.5,24.1,79.87492465,13.02742616,0.421940928,1.672694394
"Greenbrier County, West Virginia",35516,195.1,494.9,36996,21.1,45.3,44.6,46.7,2.28,47.48027903,22.4,36.6,13.3,44,11.2,7.2,61.9,39.1,43,22.1,94.14288118,2.299108395,0.38692312,0.42617619
"Halifax County, Virginia",35125,178.3,412.7,39079,18,45.3,43.1,46.9,2.43,46.83916084,15.6,34.8,7,36.5,10.1,7.5,59.3,35.6,41,21.8,60.49400101,36.92615333,0.599898609,1.056159522
"Jefferson County, Florida",14081,173.5,367.9,40205,18,45.3,42.6,48.8,2.17,47.51432268,29.2,24.8,1.8,31.5,11.9,9.4,64.3,40.9,40.6,19.9,60.91703057,36.17410903,0,1.676292436
"Sargent County, North Dakota",3876,188.2,579.7,58467,7.3,45.3,44.6,46,2.22,54.80324074,16.2,38.7,7.3,32.8,16.7,1.2,88.8,55.7,25.7,5,96.07640681,1.084150749,0.567888487,0.851832731
"Somerset County, Pennsylvania",75522,159.4,455.9,45706,13.5,45.3,43.6,47.1,2.42,56.74735811,13,44.3,8.4,49.3,9.9,6.9,72.3,47.1,37.2,16.4,95.67589438,2.640406176,0.304110054,0.41113591
"Edwards County, Kansas",2968,208.3,520.8,49256,10.5,45.2,45.2,45.3,2.27,55.96546311,16.3,29.2,14.4,30.7,15,2,68.1,39.4,30.6,15.5,93.78134403,0.902708124,0.300902708,3.443664326
"Floyd County, Virginia",15651,138,372.4,43355,14.1,45.2,42.9,46.4,2.46,59.06553979,17.8,49.3,2.7,35.6,12.1,5.7,69.8,44.2,33.6,16.4,95.98660053,2.518843007,0,0.10307286
"Green Lake County, Wisconsin",18856,169.7,441.8,51175,11.3,45.2,44.2,46.9,2.36,53.45761431,18.4,43,4.9,42.3,11.4,5.7,67.4,42.8,38,18.1,96.11409891,0.537804492,0.39544448,1.555414953
"Greene County, New York",47625,187.3,505.7,52597,11.1,45.2,43.4,46.7,2.55,50.69751616,24.8,37,5.9,36.3,12.2,9.1,70.6,48.7,37.9,17.9,89.66509356,6.346249379,0.968703428,0.732737208
"Jones County, North Carolina",10013,205.2,464.6,38928,22.2,45.2,42.5,48,2.43,49.05705996,15.9,40.8,4.3,31.2,8.1,11.6,54.9,26.4,46.1,22.6,65.09935078,31.71355499,0.098367106,1.042691324
"Kingman County, Kansas",7687,129.4,323.5,53378,11.2,45.2,41.7,46.8,2.54,55.25615436,10.3,45.8,2.3,34.8,14.8,5.7,71.5,43.3,32,13.7,97.18870347,0.141206675,0,0.077021823
"Monroe County, Arkansas",7399,229.9,515.3,30682,28.1,45.2,43.7,46.9,2.27,37.93103448,26.4,37.1,2.1,41.2,7.7,12.8,42.4,22.4,56,33.5,55.91857902,40.68455854,0.5445352,1.166861144
"Pepin County, Wisconsin",7290,163.1,387.6,53828,12.1,45.2,44.1,46.2,2.45,58.93703453,19.6,40.5,6.9,43,12.2,4.6,70.5,45.1,34.7,15.7,98.11448725,0.352685838,0.244167119,0.203472599
"Pulaski County, Virginia",34332,185.8,390.6,46186,14.7,45.2,43.9,47.1,2.3,50.35228128,9.9,34.6,5.3,34.2,11.4,7.4,69.3,47.1,35.5,16.7,92.09047729,5.832947173,0.133225209,0.327270621
"Ritchie County, West Virginia",9982,214.7,502,46383,17.7,45.2,45.1,45.3,2.56,49.74632166,23.1,38,0.3,47.9,6.3,10.6,57.4,37,46.9,24.3,98.234714,0.473372781,0,0.029585799
"Sagadahoc County, Maine",35149,173.6,451.7,55630,10.5,45.2,44.2,46,2.26,49.67867575,11.5,51.8,7.6,31.6,20.8,5.7,69.4,43.3,39.1,19,95.9221475,0.732360652,0.712413086,0.142482617
"Skamania County, Washington",11339,188.3,398.9,52673,12.6,45.2,44.9,45.5,2.49,52.94771969,20,43.8,2.4,29.2,14.2,8.3,64.4,42.6,36.1,20.5,93.41812683,0.844970204,0.978386552,0.773814818
"Warren County, New York",64688,177.9,511.3,54585,13.3,45.2,44,46.4,2.4,47.70792892,12.5,33.8,7.1,33.3,15,6.6,72.6,49.6,36.5,16.8,96.17367291,1.213562442,0.918993556,0.273089905
"Allamakee County, Iowa",13886,142.4,428.5,45229,12.4,45.1,44,45.9,2.26,55.70436508,9.4,39.2,11.7,42.1,11.6,6,72.2,43.5,35.2,15.5,96.67140825,0.704125178,0.277382646,0.327169275
"Armstrong County, Texas",1947,213.4,435.7,55177,11,45.1,43.4,47.5,2.63,67.92717087,8.3,57.7,10.7,24.3,16.1,1.1,75.7,48.3,28,11.7,90.11837365,1.18373649,0,4.426145136
"Coosa County, Alabama",10724,211.9,482.9,34679,18.8,45.1,44.6,45.6,2.42,43.25842697,19.6,28.9,0,37.6,5.1,17,55.9,31.2,45.3,24.2,67.35286116,30.68831051,0,0
"Elbert County, Colorado",24735,148.3,410.8,83603,5.9,45.1,45.1,45.2,2.82,68.195319,18.2,32.9,11,27,22,6.7,77.9,51.7,22.9,10.8,95.27562356,0.528191155,0.838398659,0.301823517
"Franklin County, Massachusetts",70601,153.9,413.9,53953,12,45.1,43.8,46.6,2.3,44.84802331,12.9,32.2,11.8,27.1,18.8,6.7,73.6,50.4,40.1,19,93.88423479,1.295963117,1.626279096,0.833520747
"Gallatin County, Illinois",5265,213.6,492.5,41045,17.5,45.1,44.8,45.7,2.23,49.54318937,19.9,32.3,0.5,41.4,6.5,7.5,58.2,32.3,50.3,27.5,96.86165274,0.389972145,0.464252553,0.018570102
"Gilmer County, Georgia",29400,136.4,408.2,40010,19.7,45.1,44.2,45.9,2.58,58.65270824,25.4,42.9,2.8,35.5,10.9,10,51.5,27.8,41.1,22.7,92.35517734,1.196247341,0.449900603,4.600146479
"Greene County, Iowa",9027,186.9,506.1,49125,13.2,45.1,43.1,47.3,2.3,55.33486122,18.8,34.6,10,35.7,14.1,5.6,75.1,44.9,38.7,17.6,97.90712884,0.054501853,0.436014825,0
"Ida County, Iowa",7028,159.8,548.4,53905,10.9,45.1,43.5,47.4,2.24,56.17542728,12.1,32.8,4.8,40.1,15.2,3.7,75,40,35.5,15.7,97.76552114,0.551548579,0.33941451,0.282845425
"Montgomery County, Iowa",10234,148.3,482.3,42046,19.3,45.1,43.5,47.7,2.22,50.62906725,21.4,36.9,2.1,37.6,10.9,9.6,67.9,37.6,43.4,21.2,95.86239847,0,0.028666985,1.299569995
"Moore County, North Carolina",94352,160.3,483.6,51650,15.5,45.1,42.8,46.5,2.44,53.44479444,14.6,40.2,8,25.8,19.7,8,66.3,32.6,39.1,19.5,82.80413765,12.34971605,1.0769214,0.645280839
"Ralls County, Missouri",10196,205.2,369.8,51738,11.6,45.1,44.5,46,2.53,61.27828898,18,32.2,8.4,48.5,8.2,6.2,67.7,42.5,34.9,16.8,96.87591526,1.435126428,0,0.01952553
"Seminole County, Georgia",8647,180.1,446.2,37672,26.4,45.1,44.6,45.5,2.62,47.7128143,30.4,23,3.4,40.3,9,9.4,51.1,31.3,43.1,25.7,64.15782871,33.49298666,0.547382826,0.570190444
"Sullivan County, New Hampshire",42967,171.9,475.7,57142,10.4,45.1,44.4,46.3,2.44,49.85074627,17.4,44,6.6,37,16.4,5.8,69.6,48.8,33.3,15.6,96.40431204,0.519299872,0.883273444,0.442795873
"Trigg County, Kentucky",14233,214.9,462.8,44676,15.8,45.1,44.2,45.5,2.35,52.82673761,15.1,25.2,15.5,30.1,9.4,8.4,62.3,34.5,38.8,18.4,89.8877193,8.792982456,0.540350877,0
"Washington County, North Carolina",12385,167.9,453.6,32867,26.8,45.1,44.6,45.3,2.4,42.52300614,29.6,22.7,5.3,38,6.1,15.5,53.1,32.5,46.9,26.7,46.71613514,48.91064099,0,2.194505841
"Bedford County, Pennsylvania",48586,151.2,479.9,46890,13.6,45,44.1,46.3,2.43,54.965,18.6,48.1,6.3,50.8,8.5,7.3,70.9,44.2,34.9,15.3,97.71829035,0.568390172,0.226133724,0.305586114
"Buffalo County, Wisconsin",13192,166.4,385.7,50998,10.5,45,45.1,44.9,2.29,54.08074857,14.5,39,5.5,42.5,12.4,3.7,73.4,49.3,34.5,16,97.49230423,0.473008484,0.090096854,0.848412043
"Carbon County, Pennsylvania",63960,191.8,496.1,49252,13,45,43.9,46.4,2.48,52.33971496,9.4,39.7,6.8,46.2,9.6,8.6,71.8,45.2,37.6,17.4,96.0748213,1.525512888,0.471887861,0.451774608
"Dare County, North Carolina",35663,163.2,442.5,54642,11,45,44.3,46,2.32,51.50644666,15.8,29.5,25.7,24.4,20.2,6.4,65.4,35.7,31.2,15.3,90.40530075,2.234460603,0.484754611,3.731749993
"Franklin County, Virginia",56264,162,422.8,47419,16.3,45,44.7,45.2,2.36,57.66095994,9.5,36.4,4,32,13.1,6.2,67.4,40.1,35,17.2,89.09704342,8.450679215,0.266358874,0.878984285
"Houston County, Minnesota",18773,141.8,354.5,59900,8.4,45,43.6,46.4,2.35,55.63023079,11.8,30.3,8.9,34.3,14.9,4.9,76.7,50.6,34.2,15,97.24643844,0.302998086,0.223261748,0.154156921
"Hunterdon County, New Jersey",125488,145.1,496.3,103876,4.7,45,43.5,46.1,2.6,62.07381821,16.6,29.8,15.1,22.7,29.3,5.9,87.5,67.5,20.5,7.1,91.06217822,2.581386139,3.628514851,1.268910891
"Klickitat County, Washington",21026,174.7,349.7,49348,14.6,45,44,45.8,2.62,54.44486837,24,36.6,9.5,29,16,7,63.7,34.9,42.1,21.1,90.9221902,0.739673391,0.465898175,2.747358309
"Lafayette County, Arkansas",6996,195.2,364.1,32225,27.5,45,43.3,46.4,2.52,41.97879859,15.4,44.4,6.5,43.3,9.4,12.5,49.6,25.5,48,26.9,60.88033012,38.19807428,0.247592847,0.041265475
"Las Animas County, Colorado",14058,162.2,372,39625,17.4,45,42.2,48,2.36,50.56642636,12.6,31.2,0.2,28.3,10.5,9.2,56.6,33.4,43,24.7,82.67255051,1.834103289,0.68261739,8.2534648
"Marion County, Kansas",12103,143.8,359.5,47723,11.9,45,43.7,46,2.4,57.88269551,15.2,20.9,8.1,36.4,14.7,5,74.9,49.1,33.4,15.3,95.76891782,0.81366965,0.18714402,0.170870627
"Marshall County, Kansas",9936,150.8,377,47901,11.1,45,43.3,46.3,2.27,55.71494678,16.9,28.9,6.9,44.8,11.8,3,77.7,48.1,32.6,12.2,97.08145927,0.289855072,0.289855072,0.389805097
"Orange County, Vermont",28899,175.5,479.7,53025,12.8,45,43.8,46,2.32,51.98386566,12.7,33.6,7.5,34.9,18.1,4.5,66.9,43.8,42.6,23.3,96.55017457,0.525424315,0.456289536,0.404438453
"Waldo County, Maine",39155,180.1,484,46598,15,45,44.3,46,2.26,50.29606821,11.6,41.3,5.4,34,19.1,7.5,62.1,38.2,41,21.5,96.89809113,0.500307882,0.631157635,0.264265189
"Wirt County, West Virginia",5880,185.8,455.3,38600,20.3,45,45.4,44,2.4,51.76954733,21.1,31.6,2.3,47.6,7.8,8.4,61.6,44,41.4,23.5,97.41482623,0.838897449,0,0.119842493
"Barber County, Kansas",4823,197.8,494.5,51676,12.4,44.9,45.3,44.7,2.38,57.39525492,26.2,24.4,4.3,36.6,11.7,3.1,73.8,40.3,34.3,14.1,95.95387841,0.335429769,0.461215933,0.251572327
"Beaufort County, North Carolina",47651,194,524.2,40357,18.8,44.9,43.3,46.1,2.54,48.03953338,18.5,36.3,4.9,33.2,11.2,11.5,59.3,30.7,43.6,21.9,70.06581022,26.43762747,0.088307647,1.696768361
"Calhoun County, Arkansas",5229,202.4,364.5,39493,18,44.9,40.7,47,2.4,53.92941176,9.4,49.3,3.9,49.3,7.3,7.2,57.1,36.4,41.8,22.3,76.39656816,22.17349857,0.209723546,0.057197331
"Caswell County, North Carolina",22941,188.2,487.1,42730,19.9,44.9,42.8,47.1,2.55,49.59658829,20.9,29.8,7.5,35.3,7.6,10.9,57.8,35.6,44.5,23.5,62.68663157,32.79105895,0.453093985,1.76490895
"Chase County, Nebraska",3956,172.1,462.8,52749,9.3,44.9,42.8,48.1,2.25,59.72957084,9.5,21.6,1.5,33.2,14.7,0.7,74.5,36,30,10.8,98.07544265,0.025660765,0,0.333589941
"Choctaw County, Alabama",13170,137.6,398.5,35049,25,44.9,43.8,47.1,2.37,45.20179372,17.4,43.1,2.8,36.8,7.4,13.6,56,34.3,44.8,24.2,55.89399029,43.30720418,0,0.014930944
"El Dorado County, California",184452,151.5,458.6,70235,11.4,44.9,43.8,45.7,2.69,58.91095012,11.3,39.1,6.7,21.8,20.8,11.1,74.8,48.7,31.5,14,86.7100877,0.980817494,3.953474324,3.742593071
"Franklin County, Maine",29991,167.5,435.2,41035,15.8,44.9,44.1,45.6,2.48,52.41955916,10.2,30.4,5.3,36.9,16.4,7.7,63.4,40.5,42,21.1,97.02980067,0.440760476,0.470363792,0.171041379
"Henry County, Tennessee",32147,219.1,479.3,37151,20.5,44.9,43.7,46,2.36,51.26568184,14.8,54.4,6.4,45.1,8.5,9.7,59.8,32.6,44.2,24,89.49456134,8.624376336,0.210728563,0.083671635
"Irion County, Texas",1554,142.5,435.8,63054,8.6,44.9,43.4,47.1,2.5,63.2218845,21.8,36.6,0,34.9,10.5,4.4,71.3,51.7,23.2,7.4,90.08515815,0,0,6.265206813
"Kinney County, Texas",3549,179,297.2,39335,21,44.9,40.8,47.3,3,55.69972196,24.9,38.1,2.4,27.9,11.1,13.2,52.7,29.6,33.9,16.3,97.95918367,1.202124685,0,0.111825552
"Lavaca County, Texas",19836,148.2,414.2,47041,13.8,44.9,43.7,45.6,2.48,57.84962992,21.8,33.3,3.5,41.6,11.9,4,66.4,42,32.4,16,78.05002813,6.972223643,0.383651338,12.84464679
"Leon County, Texas",17086,205.4,405,45159,13.5,44.9,44.6,45,2.72,51.74210355,21.2,42.3,1,36.2,12,7.5,54.8,30,41.5,23.3,87.72816458,7.836375528,0.356739402,2.651762887
"Marshall County, Kentucky",31101,185.3,496.5,45596,13.1,44.9,43.7,46.1,2.43,57.14965878,23.5,37.1,8.1,41,9.3,7.7,68.2,46.1,39.7,20.7,98.1206504,0.426541804,0.275808986,0.035277894
"Somerset County, Maine",51113,200.2,458.3,39001,17.3,44.9,44.2,45.4,2.34,48.88990826,16.4,35,7.1,41.3,10.7,9.5,56.1,34.8,46.9,25.4,96.96182407,0.325726584,0.30052155,0.046532369
"Walworth County, South Dakota",5443,146.4,391.7,41831,15.9,44.9,44.3,45.6,2.21,47.84428631,17.5,32.5,16.1,36.9,17.7,5.8,68.3,36.2,37.5,17.1,82.18380346,0.200181984,2.784349409,2.984531392
"Washington County, Idaho",9984,173.6,481,35955,17.8,44.9,43.6,45.6,2.59,50.8656873,12.8,38.4,2.3,34.4,10,9.7,54.7,31.3,40.3,21.4,94.53366584,0,0.927680798,1.596009975
"Beaver County, Pennsylvania",168871,180.2,476.1,51041,11.7,44.8,42.9,46.6,2.38,49.70961344,12.7,36,11.3,39.2,15.3,6.8,73.9,50.3,36.9,16.8,90.94619666,6.06001708,0.577789557,0.237359013
"Bertie County, North Carolina",20199,175.3,430.4,31217,27.7,44.8,40.6,47.8,2.59,41.0637149,30.5,37.6,3.9,40.3,7.4,13.5,50.8,29,46.1,25.8,36.20723267,61.97972512,0.453260552,0.160834389
"Bland County, Virginia",6561,220.5,472.2,42624,14.1,44.8,43.3,47.6,2.19,53.59602142,20,53.4,2,39.5,10.6,8.7,71.6,48.2,34.3,16.5,94.22095467,5.028519964,0,0
"Cedar County, Missouri",13934,172.7,400.7,33631,21.4,44.8,42.3,46.5,2.33,47.83197832,19.1,32.8,4.5,42.4,9.4,10.5,52.8,25.6,44.4,22.3,96.45119493,0.086380651,0.079182263,0.035991938
"Cedar County, Nebraska",8564,120,334.6,54421,10.4,44.8,42.8,46.7,2.39,60.67132867,14,28.4,10.8,40.6,13.1,2.2,83.7,43.6,28,8.9,98.67435159,0.080691643,0.023054755,0.080691643
"Cumberland County, Kentucky",6759,185.7,562.7,29067,27.8,44.8,44.4,45,2.45,49.69012031,35.6,45.3,5.6,39.1,9.6,10.2,49.7,30,45.9,26.1,94.84354341,2.967533421,0.264433671,0
"Essex County, Virginia",11130,183.4,433.5,48277,14.5,44.8,45,44.5,2.53,46.16805171,16.8,40.5,13,38.5,9,8.5,67.2,45.3,35.3,17.2,55.74387947,41.03667832,0,0.197291723
"Grant County, South Dakota",7142,150.3,429.5,52816,10,44.8,43.2,46.9,2.2,56.46618884,19.5,60.9,3.7,44.3,15.3,4.1,78,48.1,28,12.1,97.55085098,0.359762004,0.027674,0.055348001
"Hardin County, Tennessee",25756,185.9,456.8,36285,21.7,44.8,43.7,45.9,2.58,52.91257218,23.9,37.2,1.2,43.6,7.6,13.9,53.6,30.1,45,25.8,94.11969112,3.150579151,0.324324324,0.077220077
"Liberty County, Montana",2408,126.9,371.2,37911,19.1,44.8,41.8,47.3,2.52,57.98611111,29.1,18.9,0,22.1,18.7,4.5,71.2,29.8,33.9,13,96.20092866,0,0,0.802026171
"Monroe County, Missouri",8583,140.3,422.7,41376,15.8,44.8,43.9,46,2.43,55.02419584,15.7,37.1,8.6,48.7,9.7,5.9,63.1,40.7,37.3,18.8,94.89631336,2.730414747,0.311059908,0.011520737
"Orleans County, Vermont",27100,172,438.8,42089,16.2,44.8,43.7,45.8,2.35,49.33928571,15.4,47.6,5.6,38.7,14.4,5.6,54.6,33.3,52.2,32.5,96.57039711,0.512045974,0.467840566,0.187872983
"Pushmataha County, Oklahoma",11183,226.4,354.7,32215,23.1,44.8,43.4,46,2.34,47.54685197,25.6,41.6,3,39.2,8.4,10.6,43.1,25.4,46.9,26.7,75.44984857,1.202565473,0.427578835,0.641368252
"Teton County, Montana",6104,164.9,447.8,46208,13.9,44.8,44.7,44.8,2.5,58.64304235,25.4,36.1,3.5,34.3,16.5,5.1,63.6,30,40.2,18.1,95.22555153,0.082318077,0.312808693,0.79025354
"Worth County, Iowa",7569,136.5,470,50286,11,44.8,44.8,44.8,2.35,53.83647799,13.8,34.4,7.6,36.6,11.7,4.7,74,46.4,35.3,16.1,97.19687955,0.96522544,0.158667196,0.25122306
"Alfalfa County, Oklahoma",5868,159.5,447.6,51885,16.6,44.7,44.2,46.2,2.28,53.13706564,16.6,45.4,6,40.6,14.7,4.9,68.1,36.8,35.5,16.4,78.36663771,1.911381407,0.034752389,1.911381407
"Appanoose County, Iowa",12529,176.1,489.7,40422,17.5,44.7,43.9,46.7,2.28,50.53822295,21.6,28.6,6.3,36.3,12.9,6.6,65.2,39.5,40.4,19.4,97.45836293,0.339411161,0.370984292,0.102612677
"Butler County, Nebraska",8115,167.3,399.5,54240,9.2,44.7,42.1,47.7,2.26,56.49986022,22.7,24.9,2,39.9,11.2,4.2,79.4,46.5,30.1,10.1,96.82655039,0.641957364,0.557170543,1.138565891
"Cass County, Iowa",13427,218.8,470.8,46159,13.1,44.7,42.2,47.3,2.18,50.03289474,18.5,38.3,8.7,44.3,14.6,3.2,68.6,39.4,42.6,21.8,97.52023547,0.419426049,0.38263429,0.360559235
"Gem County, Idaho",16852,190,533,41688,15.9,44.7,40.9,47.4,2.63,53.74742513,18.5,55.9,2.8,37.7,11.7,14.2,56.9,34.9,38.1,18.7,94.30398661,0,0.75906999,1.440439902
"Gilpin County, Colorado",5828,129.8,400.2,64752,7.9,44.7,44.6,44.8,2.14,47.82608696,23.8,24.3,13.9,24.4,20.1,4.9,73,54.3,22.6,11,92.14986619,0.517395183,0.142729706,2.925958965
"Hardin County, Iowa",17367,169.8,487.9,53277,11.7,44.7,42.1,46.9,2.37,54.84009752,12,32.9,12.5,34.9,13.1,4.9,78.1,52.7,31.3,12.4,95.77991146,1.023400218,0.960156385,0.983154142
"Lunenburg County, Virginia",12299,189.8,404.1,37548,22.4,44.7,43.2,46.6,2.48,47.05491585,21.3,31.4,7.7,34.9,8.1,7.3,58.5,34.4,41.3,22.6,61.81716834,34.03408186,0.286669852,1.727982163
"Mason County, Illinois",13701,204.9,525.8,46878,14.8,44.7,43.3,45.8,2.27,48.65925441,16.3,45.5,9.9,41.3,9.6,9.5,65.5,39.6,43.9,23.8,97.38779555,0.899051395,0.45306527,0.01415829
"Phillips County, Kansas",5428,171.1,427.8,45856,11.4,44.7,44.2,45.5,2.29,55.04469987,33.2,13.9,7.6,35.3,15.5,4.3,75.8,44.5,33.4,15.5,96.85511725,0.381748773,0.18178513,0.163606617
"Pickens County, Georgia",30309,176.4,512.6,51047,12.3,44.7,44.2,45.5,2.61,63.72496899,16.9,43.3,4.7,30.8,15.9,8.3,68,41.7,34.5,15.8,95.3463349,1.445864156,0.68930733,1.035642233
"Schuyler County, Illinois",7032,214.2,459.3,47092,13.2,44.7,44.4,45.3,2.2,52.13333333,5.9,40.3,9.3,39,10.3,5.3,61.7,40,33.6,18.5,94.39201204,4.541102448,0,0
"Stokes County, North Carolina",46351,184.5,460.9,45065,13.8,44.7,44.2,45.4,2.43,54.66048081,19,32.7,5.4,38.1,10.2,9.3,65.2,43.3,35.3,18.6,93.13988127,4.119071602,0.315038255,0.720087439
"Washington County, Virginia",54591,176.7,420.8,43353,14.5,44.7,43.2,46.1,2.35,52.00899749,11.1,34.4,8.8,32.9,14.4,6.9,67.4,41.5,37.7,17.7,96.45720338,1.490166,0.555159882,0.500374368
"Carroll County, Mississippi",10243,191.7,401.5,38219,17.9,44.6,43.4,47,2.75,58.25663238,35.1,31.8,5,37.3,7.8,11.9,53.6,33.5,45.3,28.4,64.828787,33.56548655,0.241826272,0
"Charlotte County, Virginia",12201,182.2,434.4,36339,20.7,44.6,41.9,45.9,2.57,46.15710354,5.4,55.8,3.3,37.6,9.2,4.9,56.2,36.2,39.2,22.7,67.00235523,31.47892471,0.146186957,0.268009421
"Cimarron County, Oklahoma",2216,258.7,456.9,41800,18,44.6,42.9,46.9,2.28,52.40904621,28.6,44.4,3,36.3,15.3,2.2,59,29.9,38.4,20.5,84.45108928,0.213583938,0.213583938,12.21700128
"Deuel County, South Dakota",4333,113.9,395,51246,10.1,44.6,43.5,45.8,2.25,57.21052632,29.8,38.4,11.3,40.8,16.3,3.1,78.4,43.8,29.6,13.8,99.00944483,0.691085003,0,0
"Freeborn County, Minnesota",30613,164.1,410.3,47203,12.5,44.6,43.1,46.4,2.33,49.27268529,15.9,36.6,5.3,36.7,11.5,4.9,70.3,43.6,39,19.6,95.12574036,1.129559504,1.307570314,1.074537981
"Gage County, Nebraska",21900,165.2,463.1,50861,11,44.6,42.9,46.1,2.3,54.4047619,15.3,37,6.4,34.6,14.1,4.3,75.9,48.7,33.2,13.4,96.66330553,0.426253552,0.417086809,0.572921441
"Graham County, North Carolina",8616,160.7,405.8,33824,20.6,44.6,42,45.9,2.63,57.63697582,32,34.2,2.2,34.9,9.7,11.1,49.8,28.2,43.9,22.5,88.6091954,0.540229885,0,0.83908046
"Hampshire County, West Virginia",23353,212.1,475.1,35980,21.2,44.6,44,45.1,2.25,33.68648224,21.5,47.4,5.3,50,6.9,8.1,50.5,35.6,44.7,31.1,97.15827033,1.422988701,0.03398182,0.097697732
"Johnson County, Wyoming",8585,147.8,412.7,51434,9.7,44.6,42.9,45.8,2.34,48.39682105,29.1,44.1,3.4,36.1,16.5,3.6,76.9,46.5,30.5,12.2,97.36046512,0.046511628,0,1.802325581
"Madison County, Virginia",13134,169.8,463.3,52513,12.3,44.6,44.3,45.2,2.58,53.72776334,19.5,31.6,10.2,36.4,14.4,6.6,65.3,42.3,33.5,16.8,85.78382901,8.252833346,0,1.026850232
"Red River County, Texas",12455,201.1,434.6,34340,20.1,44.6,42.4,47.1,2.38,45.45804465,18.3,40.8,1.9,39,10.3,7.2,53.9,28.5,42.5,21.9,79.05625845,17.56982573,0.063658789,1.002625925
"Sully County, South Dakota",1426,179.1,416.6,59879,6.3,44.6,44,46.1,2.34,55.46623794,21.4,13.6,2.9,35.6,20.5,1.7,78.6,46.6,25.7,10,98.02586794,0,0,0
"Wright County, Iowa",12773,159.3,453.2,50108,12,44.6,43.4,45.9,2.31,51.02820746,18.2,35.9,9.9,37.5,12.1,5.7,71.9,43.7,38.3,17.3,94.6737786,0.378787879,0.502473717,2.837043908
"Braxton County, West Virginia",14415,196.3,396.6,33817,22.2,44.5,43.7,45.3,2.51,53.27269485,32.6,46.2,3.4,49.1,8.5,14.4,56.1,38.9,43.4,25.4,97.91234619,0.497718789,0,0
